pct,month,total_list_size
09W,2012-03-01 00:00:00+00:00,276553
00X,2012-03-01 00:00:00+00:00,173430
01Y,2012-03-01 00:00:00+00:00,235400
07J,2012-03-01 00:00:00+00:00,164519
09N,2012-03-01 00:00:00+00:00,210532
07P,2012-03-01 00:00:00+00:00,328873
10H,2012-03-01 00:00:00+00:00,322894
04F,2012-03-01 00:00:00+00:00,265437
01N,2012-03-01 00:00:00+00:00,166808
05J,2012-03-01 00:00:00+00:00,168558
06M,2012-03-01 00:00:00+00:00,230841
00N,2012-03-01 00:00:00+00:00,154487
99M,2012-03-01 00:00:00+00:00,216970
07W,2012-03-01 00:00:00+00:00,391113
01W,2012-03-01 00:00:00+00:00,293272
5PG,2012-03-01 00:00:00+00:00,1322
02M,2012-03-01 00:00:00+00:00,151707
09C,2012-03-01 00:00:00+00:00,123061
08H,2012-03-01 00:00:00+00:00,219560
11D,2012-03-01 00:00:00+00:00,151125
02R,2012-03-01 00:00:00+00:00,330276
01R,2012-03-01 00:00:00+00:00,174289
99F,2012-03-01 00:00:00+00:00,180150
04X,2012-03-01 00:00:00+00:00,242709
09H,2012-03-01 00:00:00+00:00,125350
01F,2012-03-01 00:00:00+00:00,128231
02A,2012-03-01 00:00:00+00:00,229719
05R,2012-03-01 00:00:00+00:00,271512
06Y,2012-03-01 00:00:00+00:00,221127
08K,2012-03-01 00:00:00+00:00,382003
11C,2012-03-01 00:00:00+00:00,145550
02D,2012-03-01 00:00:00+00:00,102153
5EM,2012-03-01 00:00:00+00:00,2516
07N,2012-03-01 00:00:00+00:00,228508
03K,2012-03-01 00:00:00+00:00,168664
05V,2012-03-01 00:00:00+00:00,144593
01X,2012-03-01 00:00:00+00:00,192981
04Y,2012-03-01 00:00:00+00:00,129602
08N,2012-03-01 00:00:00+00:00,287530
00Q,2012-03-01 00:00:00+00:00,167304
02N,2012-03-01 00:00:00+00:00,155634
10N,2012-03-01 00:00:00+00:00,107019
09P,2012-03-01 00:00:00+00:00,181903
00J,2012-03-01 00:00:00+00:00,244523
04D,2012-03-01 00:00:00+00:00,226047
08X,2012-03-01 00:00:00+00:00,351986
08R,2012-03-01 00:00:00+00:00,212582
10R,2012-03-01 00:00:00+00:00,213801
03T,2012-03-01 00:00:00+00:00,241083
10K,2012-03-01 00:00:00+00:00,199679
03E,2012-03-01 00:00:00+00:00,159609
03V,2012-03-01 00:00:00+00:00,68299
07K,2012-03-01 00:00:00+00:00,235722
10E,2012-03-01 00:00:00+00:00,140911
06V,2012-03-01 00:00:00+00:00,167484
03Y,2012-03-01 00:00:00+00:00,102317
03R,2012-03-01 00:00:00+00:00,352788
09X,2012-03-01 00:00:00+00:00,224034
00C,2012-03-01 00:00:00+00:00,105927
00K,2012-03-01 00:00:00+00:00,287043
01V,2012-03-01 00:00:00+00:00,121921
01C,2012-03-01 00:00:00+00:00,201960
04L,2012-03-01 00:00:00+00:00,144794
05X,2012-03-01 00:00:00+00:00,172033
00G,2012-03-01 00:00:00+00:00,149332
10C,2012-03-01 00:00:00+00:00,90404
11E,2012-03-01 00:00:00+00:00,197182
09F,2012-03-01 00:00:00+00:00,185388
09L,2012-03-01 00:00:00+00:00,168090
03M,2012-03-01 00:00:00+00:00,118049
10L,2012-03-01 00:00:00+00:00,140954
112,2012-03-01 00:00:00+00:00,920
RY6,2012-03-01 00:00:00+00:00,895
5LD,2012-03-01 00:00:00+00:00,0
R1D,2012-03-01 00:00:00+00:00,0
5PD,2012-03-01 00:00:00+00:00,901
5PF,2012-03-01 00:00:00+00:00,230
114,2012-03-01 00:00:00+00:00,817
5J2,2012-03-01 00:00:00+00:00,1630
5D7,2012-03-01 00:00:00+00:00,574
5N6,2012-03-01 00:00:00+00:00,1296
5NG,2012-03-01 00:00:00+00:00,565
5K5,2012-03-01 00:00:00+00:00,5257
5L1,2012-03-01 00:00:00+00:00,2205
5P9,2012-03-01 00:00:00+00:00,4098
5QC,2012-03-01 00:00:00+00:00,2814
5QM,2012-03-01 00:00:00+00:00,4689
5PT,2012-03-01 00:00:00+00:00,0
5P1,2012-03-01 00:00:00+00:00,0
5PC,2012-03-01 00:00:00+00:00,0
5NT,2012-03-01 00:00:00+00:00,0
5NP,2012-03-01 00:00:00+00:00,0
5F7,2012-03-01 00:00:00+00:00,0
5NK,2012-03-01 00:00:00+00:00,1557
5M6,2012-03-01 00:00:00+00:00,2763
5M1,2012-03-01 00:00:00+00:00,3003
5M2,2012-03-01 00:00:00+00:00,5399
00C,2018-08-01 00:00:00+00:00,108503
00D,2018-08-01 00:00:00+00:00,292549
00J,2018-08-01 00:00:00+00:00,258773
00K,2018-08-01 00:00:00+00:00,297834
00L,2018-08-01 00:00:00+00:00,326108
00M,2018-08-01 00:00:00+00:00,296768
00N,2018-08-01 00:00:00+00:00,157539
00P,2018-08-01 00:00:00+00:00,284132
00Q,2018-08-01 00:00:00+00:00,175584
00R,2018-08-01 00:00:00+00:00,173657
00T,2018-08-01 00:00:00+00:00,310218
00V,2018-08-01 00:00:00+00:00,204792
00X,2018-08-01 00:00:00+00:00,184120
00Y,2018-08-01 00:00:00+00:00,256146
01A,2018-08-01 00:00:00+00:00,383319
01C,2018-08-01 00:00:00+00:00,209119
01D,2018-08-01 00:00:00+00:00,234357
01E,2018-08-01 00:00:00+00:00,209159
01F,2018-08-01 00:00:00+00:00,131772
01G,2018-08-01 00:00:00+00:00,273797
01H,2018-08-01 00:00:00+00:00,324619
01J,2018-08-01 00:00:00+00:00,165657
01K,2018-08-01 00:00:00+00:00,345936
01R,2018-08-01 00:00:00+00:00,186736
01T,2018-08-01 00:00:00+00:00,155388
01V,2018-08-01 00:00:00+00:00,125261
01W,2018-08-01 00:00:00+00:00,312857
01X,2018-08-01 00:00:00+00:00,197820
01Y,2018-08-01 00:00:00+00:00,248407
02A,2018-08-01 00:00:00+00:00,242694
02D,2018-08-01 00:00:00+00:00,107544
02E,2018-08-01 00:00:00+00:00,218666
02F,2018-08-01 00:00:00+00:00,259896
02G,2018-08-01 00:00:00+00:00,113244
02H,2018-08-01 00:00:00+00:00,328761
02M,2018-08-01 00:00:00+00:00,177745
02N,2018-08-01 00:00:00+00:00,159537
02P,2018-08-01 00:00:00+00:00,261195
02Q,2018-08-01 00:00:00+00:00,117711
02R,2018-08-01 00:00:00+00:00,333799
02T,2018-08-01 00:00:00+00:00,221215
02W,2018-08-01 00:00:00+00:00,141166
02X,2018-08-01 00:00:00+00:00,321704
02Y,2018-08-01 00:00:00+00:00,304930
03A,2018-08-01 00:00:00+00:00,248975
03D,2018-08-01 00:00:00+00:00,144275
03E,2018-08-01 00:00:00+00:00,163530
03F,2018-08-01 00:00:00+00:00,299530
03H,2018-08-01 00:00:00+00:00,169909
03J,2018-08-01 00:00:00+00:00,194313
03K,2018-08-01 00:00:00+00:00,179509
03L,2018-08-01 00:00:00+00:00,263677
03M,2018-08-01 00:00:00+00:00,120648
03N,2018-08-01 00:00:00+00:00,599518
03Q,2018-08-01 00:00:00+00:00,357357
03R,2018-08-01 00:00:00+00:00,375135
03T,2018-08-01 00:00:00+00:00,251220
03V,2018-08-01 00:00:00+00:00,79241
03W,2018-08-01 00:00:00+00:00,332812
03X,2018-08-01 00:00:00+00:00,97710
03Y,2018-08-01 00:00:00+00:00,104422
04C,2018-08-01 00:00:00+00:00,406493
04D,2018-08-01 00:00:00+00:00,235361
04E,2018-08-01 00:00:00+00:00,194592
04F,2018-08-01 00:00:00+00:00,295700
04G,2018-08-01 00:00:00+00:00,689241
04H,2018-08-01 00:00:00+00:00,135380
04J,2018-08-01 00:00:00+00:00,292819
04K,2018-08-01 00:00:00+00:00,377263
04L,2018-08-01 00:00:00+00:00,152879
04M,2018-08-01 00:00:00+00:00,94292
04N,2018-08-01 00:00:00+00:00,127597
04Q,2018-08-01 00:00:00+00:00,133952
04R,2018-08-01 00:00:00+00:00,556317
04V,2018-08-01 00:00:00+00:00,393660
04Y,2018-08-01 00:00:00+00:00,133539
05A,2018-08-01 00:00:00+00:00,515401
05C,2018-08-01 00:00:00+00:00,320078
05D,2018-08-01 00:00:00+00:00,142647
05F,2018-08-01 00:00:00+00:00,187878
05G,2018-08-01 00:00:00+00:00,217452
05H,2018-08-01 00:00:00+00:00,192188
05J,2018-08-01 00:00:00+00:00,178222
05L,2018-08-01 00:00:00+00:00,571454
05N,2018-08-01 00:00:00+00:00,310873
05Q,2018-08-01 00:00:00+00:00,218148
05R,2018-08-01 00:00:00+00:00,289131
05T,2018-08-01 00:00:00+00:00,312885
05V,2018-08-01 00:00:00+00:00,149403
05W,2018-08-01 00:00:00+00:00,291593
05X,2018-08-01 00:00:00+00:00,187314
05Y,2018-08-01 00:00:00+00:00,286623
06A,2018-08-01 00:00:00+00:00,282154
06D,2018-08-01 00:00:00+00:00,116684
06F,2018-08-01 00:00:00+00:00,482343
06H,2018-08-01 00:00:00+00:00,971711
06K,2018-08-01 00:00:00+00:00,599766
06L,2018-08-01 00:00:00+00:00,408851
06M,2018-08-01 00:00:00+00:00,240185
06N,2018-08-01 00:00:00+00:00,648771
06P,2018-08-01 00:00:00+00:00,235517
06Q,2018-08-01 00:00:00+00:00,392515
06T,2018-08-01 00:00:00+00:00,352257
06V,2018-08-01 00:00:00+00:00,174076
06W,2018-08-01 00:00:00+00:00,235160
06Y,2018-08-01 00:00:00+00:00,229227
07G,2018-08-01 00:00:00+00:00,177499
07H,2018-08-01 00:00:00+00:00,314793
07J,2018-08-01 00:00:00+00:00,176148
07K,2018-08-01 00:00:00+00:00,251542
07L,2018-08-01 00:00:00+00:00,224861
07M,2018-08-01 00:00:00+00:00,425275
07N,2018-08-01 00:00:00+00:00,242481
07P,2018-08-01 00:00:00+00:00,385246
07Q,2018-08-01 00:00:00+00:00,350275
07R,2018-08-01 00:00:00+00:00,283330
07T,2018-08-01 00:00:00+00:00,320339
07V,2018-08-01 00:00:00+00:00,413560
07W,2018-08-01 00:00:00+00:00,439383
07X,2018-08-01 00:00:00+00:00,341653
07Y,2018-08-01 00:00:00+00:00,319699
08A,2018-08-01 00:00:00+00:00,297554
08C,2018-08-01 00:00:00+00:00,248820
08D,2018-08-01 00:00:00+00:00,320176
08E,2018-08-01 00:00:00+00:00,268686
08F,2018-08-01 00:00:00+00:00,278911
08G,2018-08-01 00:00:00+00:00,313907
08H,2018-08-01 00:00:00+00:00,253216
08J,2018-08-01 00:00:00+00:00,209738
08K,2018-08-01 00:00:00+00:00,416740
08L,2018-08-01 00:00:00+00:00,331606
08M,2018-08-01 00:00:00+00:00,402963
08N,2018-08-01 00:00:00+00:00,322653
08P,2018-08-01 00:00:00+00:00,218430
08Q,2018-08-01 00:00:00+00:00,332660
08R,2018-08-01 00:00:00+00:00,220762
08T,2018-08-01 00:00:00+00:00,201998
08V,2018-08-01 00:00:00+00:00,326902
08W,2018-08-01 00:00:00+00:00,312612
08X,2018-08-01 00:00:00+00:00,405412
08Y,2018-08-01 00:00:00+00:00,251482
09A,2018-08-01 00:00:00+00:00,230387
09C,2018-08-01 00:00:00+00:00,134275
09D,2018-08-01 00:00:00+00:00,317760
